Number,Date,Rating,Review
0,2/28/2020,4,"**BAGS AND BACKPACKS ARE NOT ALLOWED ON SOME RIDES. YOU HAVE TO BUY LOCKER TIME TO STORE YOUR THINGS**BRING SUNSCREEN!!!It's expensive ( of course)Bathrooms have no paper towels Free water bottle refill stations On a personal note... I don't like it. I know they ""rescue"" them but it just seems the areas they live in are so small and confined. A little kid was jumping excitedly when the dolphins were playing. That was so heartwarming, I guess most people will only see a dolphin, whale and orcas this way, including myself. Enjoy"
1,2/21/2020,4,Family went on a weekday which was wonderful and not crowded. The park is very clean and working staff extremely friendly. The shows were entertains and a favorite were the interactive tide pools were we were allowed to touch live marine animals. Food was as expected but watch out for the birds! If food is loosely attended they will steal it all!We will be back!
2,2/1/2020,5,"We always have a great time. Â We have season passes and frequent quite often, about 3-6 times a month.Today was busier then other Saturday's but by no means is it busy compared to other theme parks! It took maybe 15 minutes for my husband and friend of ours to ride the Manta.The Sesame Street kids area is always a mandatory stop with my toddler. There were about 15 - 20 kids in the small bouncy area with blocks. Â I wish they'd add some more so the kids can have more to play with or build. Â It's essentially a mini mosh pit some days with kids just stealing each other's blocks. Â I will say in all the times we've been I have only seen kids be ""mean"" a handful of times.We dined with orcas today and it was yummy. Â It's a buffet with a mini show. Â Orcas weren't too cooperative today but if you aren't familiar with their mini show you wouldn't know. Â They have complimentary soft drinks and alcoholic beverages are an additional price. Â If you're a pass holder make sure to put that in so you get an additional discount. Â We paid $36/per adult and both kids are under three so they are free!We love going to SeaWorld and a pass is sooooooo worth it!!!"
3,1/3/2020,5,"Considering I live in San Diego this is pretty much the only amusement park that is close to home excluding the World Famous San Diego Zoo and the Safari Park.Since I have an annual pass to all amusement parks, I try my best to get my money's worth by frequenting the turnstiles as often as I can. Gas isn't getting any cheaper so Disneyland is no longer an option at least for the foreseeable future. Â Therefore Sea World is best for my pocket and my car.I've come to love this place. With constant efforts to reinvent themselves and attract more and more visitors, there is always something new in the mix.Parking is easy to get in and out of.Entering the gates is quick even with the security checks which now have metal detectors.Attractions are endless and entertaining. Food is good and reasonably priced.Restrooms are always clean and nearby.Lines are never long.They even have family restrooms and designated change rooms for families with infants! I for the first time was able to use one and was thankful it was available. I've been coming here for decades and have never been disappointed. Looking forward to my next visit to try their All Day Dining Option. Â Let me know what I should try and where I should visit. Thank you in advance. SYOY!"
4,12/7/2019,4,"Sea world is adding more rides, attractions Â and coasters to the park to compliment the sea life exhibits within the park. Â The latest coasters is a high intensity, inverted launch coaster and a bobsled like figure eight shaped banking coaster. Â  We loved the rides. Â Manta coaster is still a favorite ride of many and maximizes thrill fun with the space and height restrictions given. Â The new rides are a great welcomed addition to the amusement park and Sesame Street has great kitty rides. Â  There is plenty to do at the park for both kids and adults. Â The dolphin show and cirque de sole are among the best shows. Â Putting hands into the Feeder fish pools are a must try for us. Â The food was good at the calypso bbq restaurant and we enjoyed a bbq sampler plate. Â Beer and wine are readily available at food kiosks and restaurants. Â The craft beer selection on draft was appreciated. Â Sea world is transforming and has more and more fun things to do each year. Â Friendly staff and interesting sea Â life top off the fantastic experience. We love Sea World and will be back. Â Great job!"
5,1/1/2020,4,"Great place to chill with family and see animals! The paper map offered at the entrance of the park is detailed enough to navigate around and I never got lost.All the shows and animals were enjoyable to see. The dolphin and sea lion show is a must to see if you love to see fun flips, tricks, and much more. Around 6-8 hours is definitely enough to see all animals and major shows.Just like all big parks, food prices are marked up. Most of the food isn't good quality either, so I recommend bringing simple snacks to eat instead. I ordered from a steakhouse and most of the meat was overcooked or burnt.All in all, I think it's worth to check out SeaWorld if you and your family/friends love animals."
6,12/1/2019,4,"I've been too a couple of Sea Worlds, and we've been here quite a bit since moving too California. While we came after a stormy week so not many people at all, the staff and employees were still very attentive, and helpful.Facilities were well kept, and if you are going to be here all day I would suggest getting the ""Dine all Day"" package which lets you dine every hour! Worth the money if not for food, just for water and drinks alone. The shows were great as usual, we did the orca, dolphin, and a otter show."
7,3/1/2020,5,"When you come to Sea World, look for Ben! He's hilarious and so knowledgeable! He deserves a raise, and he supports penguins! On top of that, he might just give you some stock advice! GOOOOOO BENNNNNN!!!!"
8,2/25/2020,5,I love bringing my children here. It's never super crowded and you cannot beat the price of the annual pass. I would take advantage of that if you live in the area. Great educational shows that still showcase the talents & intelligence of the animals.
9,2/28/2020,5,This place was so fun! Great way to spend my 30th birthday! Thankfully it was a week day so there were no crowds!!
10,2/28/2020,5,LOVE THIS PLACE. I love the fact that they rescue and rehabilitate these animals. People need to get off their soap box and look again at what amazing things they do. They have so many veterinarians that take care of these animals. Many of these animals are happy there and if you don't like it don't go. Keep your awful opinions to yourself and quit trying to ruin this place and other people's experiences. Sea World deserves to stay
